,gyr_time,gyrX,gyrY,gyrZ
69874,138.86231,1.000816,0.28016454,-0.0042610578
69875,138.86432,1.026915,0.25832662,0.045806371
69876,138.86628,1.051416,0.23382555,0.094808534
69877,138.86823,1.0737866,0.21092236,0.14434333
69878,138.87021,1.0897655,0.18216023,0.19387813
69879,138.87226,1.1041466,0.15978967,0.24181503
69880,138.87415,1.1116035,0.13795175,0.28762141
69881,138.87613,1.1153319,0.12197278,0.33822146
69882,138.87812,1.1169298,0.1123854,0.38296258
69883,138.88013,1.113734,0.10546118,0.42557314
69884,138.88208,1.1073424,0.10546118,0.4676511
69885,138.88407,1.1046792,0.1139833,0.51026165
69886,138.88605,1.1009508,0.13635385,0.55074173
69887,138.88804,1.0908308,0.16192019,0.58909124
69888,138.88999,1.0860372,0.19654129,0.62744075
69889,138.89203,1.0844392,0.22690132,0.66898608
69890,138.89399,1.077515,0.25193503,0.71106404
69891,138.89597,1.0737866,0.26418558,0.75580513
69892,138.89792,1.0743192,0.26418558,0.8026768
69893,138.89994,1.0769824,0.24767399,0.85700524
69894,138.90195,1.0833739,0.20346551,0.91612744
69895,138.90393,1.0839065,0.14487597,0.98270649
69896,138.90589,1.0929613,0.06870956,1.0572749
69897,138.9079,1.0982877,-0.026631612,1.1387677
69898,138.90992,1.1100056,-0.14061491,1.222391
69899,138.91193,1.1222562,-0.26738137,1.3113406
69900,138.91385,1.1382351,-0.40959418,1.4050838
69901,138.91587,1.1627362,-0.55766594,1.4988271
69902,138.91788,1.2032162,-0.73343456,1.5957662
69903,138.91987,1.2559468,-0.92358428,1.685781
69904,138.92182,1.325189,-1.1377025,1.7816548
69905,138.9238,1.4226607,-1.3741912,1.871137
69906,138.92579,1.5478293,-1.6330504,1.9584887
69907,138.9278,1.71188,-1.9366508,2.040514
69908,138.92975,1.897236,-2.3148196,2.1262679
69909,138.93177,2.0772657,-2.7771444,2.21575
69910,138.93372,2.1358552,-3.2495892,2.3020365
69911,138.93573,2.1374531,-3.5547874,2.3819313
69912,138.93769,2.1188109,-3.627758,2.4170849
69913,138.9397,2.086853,-3.6304212,2.4804683
69914,138.94169,2.0383835,-3.4605117,2.5268073
69915,138.94367,1.9931098,-3.1664987,2.5704832
69916,138.94562,1.9542277,-2.7936561,2.6136262
69917,138.94764,1.9366508,-2.3947146,2.641856
69918,138.94965,1.9244002,-2.0346551,2.6296053
69919,138.95166,1.8908445,-1.7901769,2.5880599
69920,138.95362,1.8317223,-1.6341157,2.5268073
69921,138.9556,1.7518274,-1.5110776,2.4506409
69922,138.95762,1.6527578,-1.3896375,2.360626
69923,138.95963,1.5339808,-1.2479573,2.2509038
69924,138.96158,1.3944311,-1.0860372,2.1347899
69925,138.96357,1.2644689,-0.87351686,2.001632
69926,138.96555,1.1302456,-0.5997439,1.8626149
69927,138.96753,1.0072075,-0.2444782,1.722
69928,138.96949,0.86925578,0.22370553,1.5931031
69929,138.9715,0.7094661,0.77604514,1.4849787
69930,138.97348,0.51612061,1.3619406,1.3752564
69931,138.97547,0.30466563,1.9707392,1.2639363
69932,138.97742,0.09054748,2.5848641,1.1371698
69933,138.97944,-0.098004326,3.1718249,1.0072075
69934,138.98142,-0.29561087,3.7470677,0.87511474
69935,138.9834,-0.4543353,4.3010054,0.74781567
69936,138.98536,-0.59761333,4.8197889,0.63223445
69937,138.98734,-0.72864091,5.2735915,0.52411014
69938,138.98932,-0.82025361,5.6704025,0.43675843
69939,138.99137,-0.86819053,5.9734702,0.3685815
69940,138.99326,-0.87617999,6.1923823,0.31158987
69941,138.99524,-0.83996105,6.3132896,0.26312032
69942,138.99723,-0.77231675,6.3409867,0.21465079
69943,138.99924,-0.67005134,6.266418,0.15233281
69944,139.00119,-0.52943641,6.1023674,0.063383237
69945,139.00321,-0.37497309,5.8504324,-0.052197959
69946,139.00522,-0.18056233,5.5186024,-0.18322548
69947,139.00721,0.035153728,5.1148672,-0.33182988
69948,139.00916,0.25353295,4.6493468,-0.48203218
69949,139.01117,0.46871635,4.1199102,-0.64608288
69950,139.01316,0.68176925,3.542537,-0.80107886
69951,139.01514,0.87032104,2.94013,-0.95234644
69952,139.01709,1.0375676,2.3238745,-1.0828413
69953,139.01908,1.171791,1.7134778,-1.2026836
69954,139.02109,1.2836437,1.123854,-1.3108079
69955,139.02308,1.3624732,0.56086171,-1.4072144
69956,139.02509,1.4157364,0.029294772,-1.4908376
69957,139.02707,1.442368,-0.46125951,-1.5654061
69958,139.02909,1.4466292,-0.89961582,-1.635181
69959,139.0311,1.427987,-1.2836437,-1.6953684
69960,139.03305,1.3859091,-1.6207999,-1.75236
69961,139.03504,1.3241237,-1.8998991,-1.8077538
69962,139.03705,1.242631,-2.12467,-1.8583539
69963,139.03907,1.1435614,-2.3004386,-1.9078887
